word,count,file
National,1,980174-1000623-SCHWEITZER MAUDUIT INTERNATIONAL INC-10-K
National,1,980202-1000683-BLONDER TONGUE LABORATORIES INC-10-K
National,1,980208-1000694-NOVAVAX INC-10-K
National,1,980243-1000753-INSPERITY, INC.-10-K
National,1,980367-1001082-DISH Network CORP-10-K
National,1,980441-1001233-SANGAMO BIOSCIENCES INC-10-K
National,1,980493-1001288-LEXMARK INTERNATIONAL INC KY-10-K
National,1,980639-1001601-MGT CAPITAL INVESTMENTS INC-10-K
National,1,980222-1000697-WATERS CORP DE-10-K
National,1,980668-1001604-EMERITUS CORPWA-10-K
National,1,980677-1001606-BLOUNT INTERNATIONAL INC-10-K
National,1,980757-1001838-SOUTHERN COPPER CORP-10-K
National,1,980771-1001902-INTEVAC INC-10-K
National,1,980867-1002225-ADVENT SOFTWARE INC DE-10-K
National,1,980897-1002388-ACCELRYS, INC.-10-K
National,1,981105-1002910-AMEREN CORP-10-K
National,1,981210-1003130-LCA VISION INC-10-K
National,1,981240-1003214-SILICON IMAGE INC-10-K
National,1,981414-1003950-PERFORMANCE TECHNOLOGIES INC DE-10-K
National,1,981359-1003642-IMPAX LABORATORIES INC-10-K
National,1,981439-1004125-KSW INC-10-K
National,1,981540-1004440-CONSTELLATION ENERGY GROUP INC-10-K
National,1,981670-1004673-Entertainment Gaming Asia Inc.-10-K
National,1,981704-1004724-ADCARE HEALTH SYSTEMS INC-10-K
National,1,981814-1004980-PG&E CORP-10-K
National,1,981867-1004989-SPAR GROUP INC-10-K
National,1,981882-1005010-ARTHROCARE CORP-10-K
National,1,981959-100517-United Continental Holdings, Inc.-10-K
National,1,982084-1005284-UNIVERSAL DISPLAY CORP PA-10-K
National,1,982338-1005757-CSG SYSTEMS INTERNATIONAL INC-10-K
National,1,982262-1005699-MAGICJACK VOCALTEC LTD-10-K
National,1,982521-1006045-IRIDEX CORP-10-K
National,1,982559-1006269-LORAL SPACE & COMMUNICATIONS INC.-10-K
National,1,982012-1005201-DEPOMED INC-10-K
Social Media,2,980202-1000683-BLONDER TONGUE LABORATORIES INC-10-K
Social Media,2,980174-1000623-SCHWEITZER MAUDUIT INTERNATIONAL INC-10-K
Social Media,2,980243-1000753-INSPERITY, INC.-10-K
Social Media,2,980222-1000697-WATERS CORP DE-10-K
Social Media,2,980441-1001233-SANGAMO BIOSCIENCES INC-10-K
Social Media,2,980208-1000694-NOVAVAX INC-10-K
Social Media,2,980367-1001082-DISH Network CORP-10-K
Social Media,2,980639-1001601-MGT CAPITAL INVESTMENTS INC-10-K
Social Media,2,980493-1001288-LEXMARK INTERNATIONAL INC KY-10-K
Social Media,2,980668-1001604-EMERITUS CORPWA-10-K
Social Media,2,980757-1001838-SOUTHERN COPPER CORP-10-K
Social Media,2,980677-1001606-BLOUNT INTERNATIONAL INC-10-K
Social Media,2,980897-1002388-ACCELRYS, INC.-10-K
Social Media,2,980771-1001902-INTEVAC INC-10-K
Social Media,2,980867-1002225-ADVENT SOFTWARE INC DE-10-K
Social Media,2,981240-1003214-SILICON IMAGE INC-10-K
Social Media,2,981105-1002910-AMEREN CORP-10-K
Social Media,2,981210-1003130-LCA VISION INC-10-K
Social Media,2,981359-1003642-IMPAX LABORATORIES INC-10-K
Social Media,2,981540-1004440-CONSTELLATION ENERGY GROUP INC-10-K
Social Media,2,981414-1003950-PERFORMANCE TECHNOLOGIES INC DE-10-K
Social Media,2,981704-1004724-ADCARE HEALTH SYSTEMS INC-10-K
Social Media,2,981670-1004673-Entertainment Gaming Asia Inc.-10-K
Social Media,2,981867-1004989-SPAR GROUP INC-10-K
Social Media,2,981882-1005010-ARTHROCARE CORP-10-K
Social Media,2,981959-100517-United Continental Holdings, Inc.-10-K
Social Media,2,981439-1004125-KSW INC-10-K
Social Media,2,982012-1005201-DEPOMED INC-10-K
Social Media,2,982084-1005284-UNIVERSAL DISPLAY CORP PA-10-K
Social Media,2,982338-1005757-CSG SYSTEMS INTERNATIONAL INC-10-K
Social Media,2,981814-1004980-PG&E CORP-10-K
Social Media,2,982521-1006045-IRIDEX CORP-10-K
Social Media,2,982559-1006269-LORAL SPACE & COMMUNICATIONS INC.-10-K
Social Media,2,982262-1005699-MAGICJACK VOCALTEC LTD-10-K
